platform,title,channel,published_at,public_view_count,checked_at_utc,canonical_url,topic,primary_hook,inclusion_reason,verification_surface
YouTube,첫 커플여행 갈 때 남녀의 차이,1분순삭,2023-11-23T02:00:11Z,5487745,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=JGJekXcwBCQ,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,그래도 잠은 잘오더군요 #신혼부부 #신혼여행 #호텔 #브이로그 #브이로그꿈나무,은윤이행님,2024-11-27T00:22:55Z,9418187,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=fj6YJn9Itw4,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,여행을 기록하는 특별한 방법,바깥TV,2025-08-01T15:42:00Z,1846646,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=WMS1HZXFl-I,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,호불호가 강한 캐리어 싸는 꿀팁ㅋㅋㅋㅋㅋ,짤컷,2023-07-19T12:00:46Z,4844038,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=xDK4Q3y8l-E,여행 준비/짐,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,곽튜브가 추천한 최고의 여행지?!,김지석 [내 안의 보석],2024-08-29T11:56:41Z,12749041,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=GWArWI45xr8,여행 후기/장면,A 선택 + 제약,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,해외 한달살기는 무조건 치앙마이인 이유,월터씨 walterC,2024-08-12T08:48:31Z,782694,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=FMl-7Tf5FLg,장기여행/한달살기,G 현지의 비관광 장면,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,[Gimme5] 단 하나의 배낭만으로 여행을 해야 한다면? 최고의 기내 반입용 배낭 5가지!,덕후아재 LazyDoo,2025-07-23T12:22:43Z,234548,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=jZx6F6lYwI0,미니멀 여행,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,커플여행...?,띱 Deep,2023-04-22T03:00:33Z,2121214,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=mgHhpRrKBsY,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"한때 신혼여행 선호도 1위, 사이판은 왜 몰락했을까?",세계는요지경 YOZIGYEONG,2025-09-13T00:00:56Z,4300272,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=l8deC7G8g_E,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,[vlog] 주은이 가족 여행 브이로그🌊 (With 르멘카)ㅣ춘천 닭갈비 먹방・하늘이 재롱잔치・응원봉 언박싱・엄마랑 쇼핑데이・강릉 동해 바다・실내 스파ㅣ어느 주은 날,Hearts2Hearts,2026-04-08T11:01:33Z,1128495,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=sw9LHzw8WRM,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
